,Label.SRA,Label.Bakker,SAMN,year,collect,plot,CO2,plant,tissue,biol,Sample_or_Control,is.neg,plot_n
SRR9124653,SRR9124653,FACE002,SAMN11840295,Y17,2017_07_24,Y17_Plot1,Ambient,Y17_Plot1_01,leaf,FACE,Sample,FALSE,1
SRR9124655,SRR9124655,FACE004,SAMN11840297,Y17,2017_07_24,Y17_Plot1,Ambient,Y17_Plot1_02,leaf,FACE,Sample,FALSE,1
SRR9124657,SRR9124657,FACE006,SAMN11840299,Y17,2017_07_24,Y17_Plot1,Ambient,Y17_Plot1_03,leaf,FACE,Sample,FALSE,1
SRR9124659,SRR9124659,FACE010,SAMN11840301,Y17,2017_07_31,Y17_Plot1,Ambient,Y17_Plot1_05,leaf,FACE,Sample,FALSE,1
SRR9124703,SRR9124703,FACE020,SAMN11840309,Y17,2017_08_07,Y17_Plot1,Ambient,Y17_Plot1_10,leaf,FACE,Sample,FALSE,1
SRR9124707,SRR9124707,FACE016,SAMN11840305,Y17,2017_07_31,Y17_Plot1,Ambient,Y17_Plot1_08,leaf,FACE,Sample,FALSE,1
SRR9124709,SRR9124709,FACE018,SAMN11840307,Y17,2017_08_07,Y17_Plot1,Ambient,Y17_Plot1_09,leaf,FACE,Sample,FALSE,1
SRR9124652,SRR9124652,FACE001,SAMN11840294,Y17,2017_07_24,Y17_Plot1,Ambient,Y17_Plot1_01,spike,FACE,Sample,FALSE,1
SRR9124660,SRR9124660,FACE011,SAMN11840302,Y17,2017_07_31,Y17_Plot1,Ambient,Y17_Plot1_06,spike,FACE,Sample,FALSE,1
SRR9124661,SRR9124661,FACE013,SAMN11840303,Y17,2017_07_31,Y17_Plot1,Ambient,Y17_Plot1_07,spike,FACE,Sample,FALSE,1
SRR9124702,SRR9124702,FACE019,SAMN11840308,Y17,2017_08_07,Y17_Plot1,Ambient,Y17_Plot1_10,spike,FACE,Sample,FALSE,1
SRR9124704,SRR9124704,FACE021,SAMN11840310,Y17,2017_08_07,Y17_Plot1,Ambient,Y17_Plot1_11,spike,FACE,Sample,FALSE,1
SRR9124705,SRR9124705,FACE023,SAMN11840311,Y17,2017_08_07,Y17_Plot1,Ambient,Y17_Plot1_12,spike,FACE,Sample,FALSE,1
SRR9124706,SRR9124706,FACE015,SAMN11840304,Y17,2017_07_31,Y17_Plot1,Ambient,Y17_Plot1_08,spike,FACE,Sample,FALSE,1
SRR9124708,SRR9124708,FACE017,SAMN11840306,Y17,2017_08_07,Y17_Plot1,Ambient,Y17_Plot1_09,spike,FACE,Sample,FALSE,1
SRR9124601,SRR9124601,FACE072,SAMN11840354,Y17,2017_08_07,Y17_Plot3,Ambient,Y17_Plot3_12,leaf,FACE,Sample,FALSE,2
SRR9124620,SRR9124620,FACE062,SAMN11840345,Y17,2017_07_31,Y17_Plot3,Ambient,Y17_Plot3_07,leaf,FACE,Sample,FALSE,2
SRR9124676,SRR9124676,FACE066,SAMN11840349,Y17,2017_08_07,Y17_Plot3,Ambient,Y17_Plot3_09,leaf,FACE,Sample,FALSE,2
SRR9124720,SRR9124720,FACE068,SAMN11840351,Y17,2017_08_07,Y17_Plot3,Ambient,Y17_Plot3_10,leaf,FACE,Sample,FALSE,2
SRR9124741,SRR9124741,FACE064,SAMN11840347,Y17,2017_07_31,Y17_Plot3,Ambient,Y17_Plot3_08,leaf,FACE,Sample,FALSE,2
SRR9124795,SRR9124795,FACE058,SAMN11840341,Y17,2017_07_31,Y17_Plot3,Ambient,Y17_Plot3_05,leaf,FACE,Sample,FALSE,2
SRR9124819,SRR9124819,FACE054,SAMN11840339,Y17,2017_07_24,Y17_Plot3,Ambient,Y17_Plot3_03,leaf,FACE,Sample,FALSE,2
SRR9124821,SRR9124821,FACE052,SAMN11840337,Y17,2017_07_24,Y17_Plot3,Ambient,Y17_Plot3_02,leaf,FACE,Sample,FALSE,2
