,Label.SRA,Label.Bakker,SAMN,year,collect,plot,CO2,plant,tissue,biol,Sample_or_Control,is.neg,plot_n
SRR9124636,SRR9124636,FACE216,SAMN11840454,Y18,2018_07_24,Y18_Plot2,Ambient,Y18_Plot2_06,leaf,FACE,Sample,FALSE,1
SRR9124637,SRR9124637,FACE247,SAMN11840457,Y18,2018_07_31,Y18_Plot2,Ambient,Y18_Plot2_08,leaf,FACE,Sample,FALSE,1
SRR9124640,SRR9124640,FACE248,SAMN11840458,Y18,2018_07_31,Y18_Plot2,Ambient,Y18_Plot2_08,leaf,FACE,Sample,FALSE,1
SRR9124818,SRR9124818,FACE215,SAMN11840453,Y18,2018_07_24,Y18_Plot2,Ambient,Y18_Plot2_06,leaf,FACE,Sample,FALSE,1
SRR9124826,SRR9124826,FACE151,SAMN11840445,Y18,2018_07_10,Y18_Plot2,Ambient,Y18_Plot2_02,leaf,FACE,Sample,FALSE,1
SRR9124827,SRR9124827,FACE152,SAMN11840446,Y18,2018_07_10,Y18_Plot2,Ambient,Y18_Plot2_02,leaf,FACE,Sample,FALSE,1
SRR9124830,SRR9124830,FACE183,SAMN11840449,Y18,2018_07_17,Y18_Plot2,Ambient,Y18_Plot2_04,leaf,FACE,Sample,FALSE,1
SRR9124831,SRR9124831,FACE184,SAMN11840450,Y18,2018_07_17,Y18_Plot2,Ambient,Y18_Plot2_04,leaf,FACE,Sample,FALSE,1
SRR9124635,SRR9124635,FACE245,SAMN11840455,Y18,2018_07_31,Y18_Plot2,Ambient,Y18_Plot2_07,spike,FACE,Sample,FALSE,1
SRR9124638,SRR9124638,FACE246,SAMN11840456,Y18,2018_07_31,Y18_Plot2,Ambient,Y18_Plot2_07,spike,FACE,Sample,FALSE,1
SRR9124817,SRR9124817,FACE214,SAMN11840452,Y18,2018_07_24,Y18_Plot2,Ambient,Y18_Plot2_05,spike,FACE,Sample,FALSE,1
SRR9124825,SRR9124825,FACE150,SAMN11840444,Y18,2018_07_10,Y18_Plot2,Ambient,Y18_Plot2_01,spike,FACE,Sample,FALSE,1
SRR9124828,SRR9124828,FACE181,SAMN11840447,Y18,2018_07_17,Y18_Plot2,Ambient,Y18_Plot2_03,spike,FACE,Sample,FALSE,1
SRR9124829,SRR9124829,FACE182,SAMN11840448,Y18,2018_07_17,Y18_Plot2,Ambient,Y18_Plot2_03,spike,FACE,Sample,FALSE,1
SRR9124832,SRR9124832,FACE213,SAMN11840451,Y18,2018_07_24,Y18_Plot2,Ambient,Y18_Plot2_05,spike,FACE,Sample,FALSE,1
SRR9124864,SRR9124864,FACE149,SAMN11840443,Y18,2018_07_10,Y18_Plot2,Ambient,Y18_Plot2_01,spike,FACE,Sample,FALSE,1
SRR9124695,SRR9124695,FACE255,SAMN11840489,Y18,2018_07_31,Y18_Plot4,Ambient,Y18_Plot4_08,leaf,FACE,Sample,FALSE,2
SRR9124696,SRR9124696,FACE256,SAMN11840490,Y18,2018_07_31,Y18_Plot4,Ambient,Y18_Plot4_08,leaf,FACE,Sample,FALSE,2
SRR9124699,SRR9124699,FACE223,SAMN11840485,Y18,2018_07_24,Y18_Plot4,Ambient,Y18_Plot4_06,leaf,FACE,Sample,FALSE,2
SRR9124700,SRR9124700,FACE224,SAMN11840486,Y18,2018_07_24,Y18_Plot4,Ambient,Y18_Plot4_06,leaf,FACE,Sample,FALSE,2
SRR9124740,SRR9124740,FACE192,SAMN11840482,Y18,2018_07_17,Y18_Plot4,Ambient,Y18_Plot4_04,leaf,FACE,Sample,FALSE,2
SRR9124746,SRR9124746,FACE191,SAMN11840481,Y18,2018_07_17,Y18_Plot4,Ambient,Y18_Plot4_04,leaf,FACE,Sample,FALSE,2
SRR9124694,SRR9124694,FACE254,SAMN11840488,Y18,2018_07_31,Y18_Plot4,Ambient,Y18_Plot4_07,spike,FACE,Sample,FALSE,2
SRR9124698,SRR9124698,FACE222,SAMN11840484,Y18,2018_07_24,Y18_Plot4,Ambient,Y18_Plot4_05,spike,FACE,Sample,FALSE,2
SRR9124701,SRR9124701,FACE253,SAMN11840487,Y18,2018_07_31,Y18_Plot4,Ambient,Y18_Plot4_07,spike,FACE,Sample,FALSE,2
SRR9124739,SRR9124739,FACE221,SAMN11840483,Y18,2018_07_24,Y18_Plot4,Ambient,Y18_Plot4_05,spike,FACE,Sample,FALSE,2
SRR9124743,SRR9124743,FACE158,SAMN11840476,Y18,2018_07_10,Y18_Plot4,Ambient,Y18_Plot4_01,spike,FACE,Sample,FALSE,2
SRR9124744,SRR9124744,FACE157,SAMN11840475,Y18,2018_07_10,Y18_Plot4,Ambient,Y18_Plot4_01,spike,FACE,Sample,FALSE,2
