Label.Bakker,SAMN,Label.SRA,year,collect,plot,CO2,plant,tissue,biol
FACE081,SAMN11840363,SRR9124593,Y17,2017-07-31,Y17_Plot4,Elevated,Y17_Plot4_05,spike,FACE
FACE080,SAMN11840362,SRR9124594,Y17,2017-07-24,Y17_Plot4,Elevated,Y17_Plot4_04,leaf,FACE
FACE061,SAMN11840344,SRR9124595,Y17,2017-07-31,Y17_Plot3,Ambient,Y17_Plot3_07,spike,FACE
FACE077,SAMN11840359,SRR9124596,Y17,2017-07-24,Y17_Plot4,Elevated,Y17_Plot4_03,spike,FACE
FACE076,SAMN11840358,SRR9124597,Y17,2017-07-24,Y17_Plot4,Elevated,Y17_Plot4_02,leaf,FACE
FACE079,SAMN11840361,SRR9124598,Y17,2017-07-24,Y17_Plot4,Elevated,Y17_Plot4_04,spike,FACE
FACE078,SAMN11840360,SRR9124599,Y17,2017-07-24,Y17_Plot4,Elevated,Y17_Plot4_03,leaf,FACE
FACE073,SAMN11840355,SRR9124600,Y17,2017-07-24,Y17_Plot4,Elevated,Y17_Plot4_01,spike,FACE
FACE072,SAMN11840354,SRR9124601,Y17,2017-08-07,Y17_Plot3,Ambient,Y17_Plot3_12,leaf,FACE
FACE075,SAMN11840357,SRR9124602,Y17,2017-07-24,Y17_Plot4,Elevated,Y17_Plot4_02,spike,FACE
FACE074,SAMN11840356,SRR9124603,Y17,2017-07-24,Y17_Plot4,Elevated,Y17_Plot4_01,leaf,FACE
FACE188,SAMN11840466,SRR9124604,Y18,2018-07-17,Y18_Plot3,Elevated,Y18_Plot3_04,leaf,FACE
FACE217,SAMN11840467,SRR9124605,Y18,2018-07-24,Y18_Plot3,Elevated,Y18_Plot3_05,spike,FACE
FACE186,SAMN11840464,SRR9124606,Y18,2018-07-17,Y18_Plot3,Elevated,Y18_Plot3_03,spike,FACE
FACE187,SAMN11840465,SRR9124607,Y18,2018-07-17,Y18_Plot3,Elevated,Y18_Plot3_04,leaf,FACE
FACE220,SAMN11840470,SRR9124608,Y18,2018-07-24,Y18_Plot3,Elevated,Y18_Plot3_06,leaf,FACE
FACE249,SAMN11840471,SRR9124609,Y18,2018-07-31,Y18_Plot3,Elevated,Y18_Plot3_07,spike,FACE
FACE218,SAMN11840468,SRR9124610,Y18,2018-07-24,Y18_Plot3,Elevated,Y18_Plot3_05,spike,FACE
